iter	Passed	Remaining
0	1	109
1	2	107
2	3	100
3	4	98
4	5	98
5	6	98
6	7	96
7	8	94
8	9	92
9	10	91
10	11	89
11	12	88
12	13	87
13	13	85
14	14	84
15	15	83
16	16	82
17	17	81
18	18	79
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	72
25	25	71
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
